web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-159,https://www.imdb.com/chart/top/?ref_=nv_mv_250,159. Rashomon,,1950,1h 28m,159. Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_159,R
1718339113-160,https://www.imdb.com/chart/top/?ref_=nv_mv_250,160. The Elephant Man,,1980,2h 4m,160. The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,G
1718339113-161,https://www.imdb.com/chart/top/?ref_=nv_mv_250,161. Dial M for Murder,,1954,1h 45m,161. Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161,R
1718339113-162,https://www.imdb.com/chart/top/?ref_=nv_mv_250,162. Chinatown,,1974,2h 10m,162. Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_162,R
1718339113-163,https://www.imdb.com/chart/top/?ref_=nv_mv_250,163. Gone with the Wind,,1939,3h 58m,163. Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163,R
1718339113-164,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"164. Lock, Stock and Two Smoking Barrels",,1998,1h 47m,"164. Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164,PG
1718339113-165,https://www.imdb.com/chart/top/?ref_=nv_mv_250,165. V for Vendetta,,2005,2h 12m,165. V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_165,R
1718339113-166,https://www.imdb.com/chart/top/?ref_=nv_mv_250,166. The Secret in Their Eyes,,2009,2h 9m,166. The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_166,R
1718339113-167,https://www.imdb.com/chart/top/?ref_=nv_mv_250,167. Inside Out,,2015,1h 35m,167. Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167,R
1718339113-168,https://www.imdb.com/chart/top/?ref_=nv_mv_250,168. Raging Bull,,1980,2h 9m,168. Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_168,PG
1718339113-169,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"169. Three Billboards Outside Ebbing, Missouri",,2017,1h 55m,"169. Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169,PG
1718339113-170,https://www.imdb.com/chart/top/?ref_=nv_mv_250,170. Trainspotting,,1996,1h 33m,170. Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170,R
1718339113-171,https://www.imdb.com/chart/top/?ref_=nv_mv_250,171. The Bridge on the River Kwai,,1957,2h 41m,171. The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171,PG-13
1718339113-172,https://www.imdb.com/chart/top/?ref_=nv_mv_250,172. Klaus,,2019,1h 36m,172. Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_172,PG-13
1718339113-173,https://www.imdb.com/chart/top/?ref_=nv_mv_250,173. Fargo,,1996,1h 38m,173. Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173,PG-13
1718339113-174,https://www.imdb.com/chart/top/?ref_=nv_mv_250,174. Catch Me If You Can,,2002,2h 21m,174. Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174,R
1718339113-175,https://www.imdb.com/chart/top/?ref_=nv_mv_250,175. Spider-Man: No Way Home,,2021,2h 28m,175. Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_175,PG-13
1718339113-176,https://www.imdb.com/chart/top/?ref_=nv_mv_250,176. Warrior,,2011,2h 20m,176. Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_176,PG-13
1718339113-177,https://www.imdb.com/chart/top/?ref_=nv_mv_250,177. Gran Torino,,2008,1h 56m,177. Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_177,G
1718339113-178,https://www.imdb.com/chart/top/?ref_=nv_mv_250,178. Harry Potter and the Deathly Hallows: Part 2,,2011,2h 10m,178. Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178,PG
1718339113-179,https://www.imdb.com/chart/top/?ref_=nv_mv_250,179. Million Dollar Baby,,2004,2h 12m,179. Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_179,R
1718339113-180,https://www.imdb.com/chart/top/?ref_=nv_mv_250,180. My Neighbor Totoro,,1988,1h 26m,180. My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_180,G
1718339113-181,https://www.imdb.com/chart/top/?ref_=nv_mv_250,181. Children of Heaven,,1997,1h 29m,181. Children of Heaven,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_181,R
1718339113-182,https://www.imdb.com/chart/top/?ref_=nv_mv_250,182. 12 Years a Slave,,2013,2h 14m,182. 12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_182,R
1718339113-183,https://www.imdb.com/chart/top/?ref_=nv_mv_250,183. Ben-Hur,,1959,3h 32m,183. Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183,PG
1718339113-184,https://www.imdb.com/chart/top/?ref_=nv_mv_250,184. Blade Runner,,1982,1h 57m,184. Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_184,R
1718339113-185,https://www.imdb.com/chart/top/?ref_=nv_mv_250,185. Before Sunrise,,1995,1h 41m,185. Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_185,R
1718339113-186,https://www.imdb.com/chart/top/?ref_=nv_mv_250,186. Barry Lyndon,,1975,3h 5m,186. Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_186,R
1718339113-187,https://www.imdb.com/chart/top/?ref_=nv_mv_250,187. The Grand Budapest Hotel,,2014,1h 39m,187. The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_187,R
1718339113-188,https://www.imdb.com/chart/top/?ref_=nv_mv_250,188. Mad Max: Fury Road,,2015,2h,188. Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_188,Approved
1718339113-189,https://www.imdb.com/chart/top/?ref_=nv_mv_250,189. Gone Girl,,2014,2h 29m,189. Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189,PG
