web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-11,https://www.imdb.com/chart/top/?ref_=nv_mv_250,11. Forrest Gump,8.2 (190K),1994,2h 22m,11. Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,PG-13
1718339113-12,https://www.imdb.com/chart/top/?ref_=nv_mv_250,12. The Lord of the Rings: The Two Towers,8.2 (336K),2002,2h 59m,12. The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,PG-13
1718339113-13,https://www.imdb.com/chart/top/?ref_=nv_mv_250,13. Fight Club,8.2 (1.2M),1999,2h 19m,13. Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,R
1718339113-14,https://www.imdb.com/chart/top/?ref_=nv_mv_250,14. Inception,8.2 (223K),2010,2h 28m,14. Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,PG-13
1718339113-15,https://www.imdb.com/chart/top/?ref_=nv_mv_250,15. Star Wars: Episode V - The Empire Strikes Back,8.2 (191K),1980,2h 4m,15. Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15,PG
1718339113-16,https://www.imdb.com/chart/top/?ref_=nv_mv_250,16. The Matrix,8.2 (887K),1999,2h 16m,16. The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,R
1718339113-17,https://www.imdb.com/chart/top/?ref_=nv_mv_250,17. Goodfellas,8.2 (81K),1990,2h 25m,17. Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17,R
1718339113-18,https://www.imdb.com/chart/top/?ref_=nv_mv_250,18. One Flew Over the Cuckoo's Nest,8.2 (58K),1975,2h 13m,18. One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18,R
1718339113-19,https://www.imdb.com/chart/top/?ref_=nv_mv_250,19. Se7en,8.2 (93K),1995,2h 7m,19. Se7en,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19,R
1718339113-20,https://www.imdb.com/chart/top/?ref_=nv_mv_250,20. Interstellar,8.2 (95K),2014,2h 49m,20. Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_20,PG-13
1718339113-21,https://www.imdb.com/chart/top/?ref_=nv_mv_250,21. It's a Wonderful Life,8.2 (104K),1946,2h 10m,21. It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,PG
1718339113-22,https://www.imdb.com/chart/top/?ref_=nv_mv_250,22. Seven Samurai,,1954,3h 27m,22. Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22,Not Rated
1718339113-23,https://www.imdb.com/chart/top/?ref_=nv_mv_250,23. The Silence of the Lambs,,1991,1h 58m,23. The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23,R
1718339113-24,https://www.imdb.com/chart/top/?ref_=nv_mv_250,24. Saving Private Ryan,,1998,2h 49m,24. Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24,R
1718339113-25,https://www.imdb.com/chart/top/?ref_=nv_mv_250,25. City of God,,2002,2h 10m,25. City of God,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25,R
1718339113-26,https://www.imdb.com/chart/top/?ref_=nv_mv_250,26. Life Is Beautiful,,1997,1h 56m,26. Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26,PG-13
1718339113-27,https://www.imdb.com/chart/top/?ref_=nv_mv_250,27. The Green Mile,,1999,3h 9m,27. The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27,R
1718339113-28,https://www.imdb.com/chart/top/?ref_=nv_mv_250,28. Terminator 2: Judgment Day,,1991,2h 17m,28. Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28,R
1718339113-29,https://www.imdb.com/chart/top/?ref_=nv_mv_250,29. Star Wars: Episode IV - A New Hope,,1977,2h 1m,29. Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29,PG
1718339113-30,https://www.imdb.com/chart/top/?ref_=nv_mv_250,30. Dune: Part Two,,2024,2h 46m,30. Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_30,PG-13
1718339113-31,https://www.imdb.com/chart/top/?ref_=nv_mv_250,31. Back to the Future,,1985,1h 56m,31. Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31,PG
1718339113-32,https://www.imdb.com/chart/top/?ref_=nv_mv_250,32. Spirited Away,,2001,2h 5m,32. Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32,PG
1718339113-33,https://www.imdb.com/chart/top/?ref_=nv_mv_250,33. The Pianist,,2002,2h 30m,33. The Pianist,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33,R
1718339113-34,https://www.imdb.com/chart/top/?ref_=nv_mv_250,34. Parasite,,2019,2h 12m,34. Parasite,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34,R
1718339113-35,https://www.imdb.com/chart/top/?ref_=nv_mv_250,35. Psycho,,1960,1h 49m,35. Psycho,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35,R
1718339113-36,https://www.imdb.com/chart/top/?ref_=nv_mv_250,36. Gladiator,,2000,2h 35m,36. Gladiator,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36,R
1718339113-37,https://www.imdb.com/chart/top/?ref_=nv_mv_250,37. Spider-Man: Across the Spider-Verse,,2023,2h 20m,37. Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_37,PG
1718339113-38,https://www.imdb.com/chart/top/?ref_=nv_mv_250,38. The Lion King,,1994,1h 28m,38. The Lion King,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38,G
1718339113-39,https://www.imdb.com/chart/top/?ref_=nv_mv_250,39. The Departed,,2006,2h 31m,39. The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39,R
1718339113-40,https://www.imdb.com/chart/top/?ref_=nv_mv_250,40. Léon: The Professional,,1994,1h 50m,40. Léon: The Professional,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40,R
1718339113-41,https://www.imdb.com/chart/top/?ref_=nv_mv_250,41. American History X,,1998,1h 59m,41. American History X,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41,R
1718339113-42,https://www.imdb.com/chart/top/?ref_=nv_mv_250,42. Whiplash,,2014,1h 46m,42. Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,R
1718339113-43,https://www.imdb.com/chart/top/?ref_=nv_mv_250,43. The Prestige,,2006,2h 10m,43. The Prestige,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43,PG-13
1718339113-44,https://www.imdb.com/chart/top/?ref_=nv_mv_250,44. Grave of the Fireflies,,1988,1h 29m,44. Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44,Not Rated
1718339113-45,https://www.imdb.com/chart/top/?ref_=nv_mv_250,45. Harakiri,,1962,2h 13m,45. Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45,Not Rated
1718339113-46,https://www.imdb.com/chart/top/?ref_=nv_mv_250,46. The Usual Suspects,,1995,1h 46m,46. The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,R
1718339113-47,https://www.imdb.com/chart/top/?ref_=nv_mv_250,47. Casablanca,,1942,1h 42m,47. Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47,PG
1718339113-48,https://www.imdb.com/chart/top/?ref_=nv_mv_250,48. The Intouchables,,2011,1h 52m,48. The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48,R
1718339113-49,https://www.imdb.com/chart/top/?ref_=nv_mv_250,49. Cinema Paradiso,,1988,2h 54m,49. Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49,PG
1718339113-50,https://www.imdb.com/chart/top/?ref_=nv_mv_250,50. Modern Times,,1936,1h 27m,50. Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50,G
1718339113-51,https://www.imdb.com/chart/top/?ref_=nv_mv_250,51. Rear Window,,1954,1h 52m,51. Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51,PG
1718339113-52,https://www.imdb.com/chart/top/?ref_=nv_mv_250,52. Once Upon a Time in the West,,1968,2h 46m,52. Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52,PG-13
1718339113-53,https://www.imdb.com/chart/top/?ref_=nv_mv_250,53. Alien,,1979,1h 57m,53. Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53,R
1718339113-54,https://www.imdb.com/chart/top/?ref_=nv_mv_250,54. City Lights,,1931,1h 27m,54. City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54,G
1718339113-55,https://www.imdb.com/chart/top/?ref_=nv_mv_250,55. Django Unchained,,2012,2h 45m,55. Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_55,R
1718339113-56,https://www.imdb.com/chart/top/?ref_=nv_mv_250,56. Apocalypse Now,,1979,2h 27m,56. Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56,R
1718339113-57,https://www.imdb.com/chart/top/?ref_=nv_mv_250,57. Memento,,2000,1h 53m,57. Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57,R
1718339113-58,https://www.imdb.com/chart/top/?ref_=nv_mv_250,58. WALL·E,,2008,1h 38m,58. WALL·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_58,G
1718339113-59,https://www.imdb.com/chart/top/?ref_=nv_mv_250,59. 12th Fail,,2023,2h 27m,59. 12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_59,PG
1718339113-60,https://www.imdb.com/chart/top/?ref_=nv_mv_250,60. Raiders of the Lost Ark,,1981,1h 55m,60. Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_60,R
1718339113-61,https://www.imdb.com/chart/top/?ref_=nv_mv_250,61. The Lives of Others,,2006,2h 17m,61. The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61,Approved
1718339113-62,https://www.imdb.com/chart/top/?ref_=nv_mv_250,62. Sunset Boulevard,,1950,1h 50m,62. Sunset Boulevard,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62,PG-13
1718339113-63,https://www.imdb.com/chart/top/?ref_=nv_mv_250,63. Avengers: Infinity War,,2018,2h 29m,63. Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63,Approved
1718339113-64,https://www.imdb.com/chart/top/?ref_=nv_mv_250,64. Paths of Glory,,1957,1h 28m,64. Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_64,PG
1718339113-65,https://www.imdb.com/chart/top/?ref_=nv_mv_250,65. Spider-Man: Into the Spider-Verse,,2018,1h 57m,65. Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65,Approved
1718339113-66,https://www.imdb.com/chart/top/?ref_=nv_mv_250,66. Witness for the Prosecution,,1957,1h 56m,66. Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66,R
1718339113-67,https://www.imdb.com/chart/top/?ref_=nv_mv_250,67. The Shining,,1980,2h 26m,67. The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67,G
1718339113-68,https://www.imdb.com/chart/top/?ref_=nv_mv_250,68. The Great Dictator,,1940,2h 5m,68. The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68,R
1718339113-69,https://www.imdb.com/chart/top/?ref_=nv_mv_250,69. Aliens,,1986,2h 17m,69. Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69,R
1718339113-70,https://www.imdb.com/chart/top/?ref_=nv_mv_250,70. Inglourious Basterds,,2009,2h 33m,70. Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70,PG-13
1718339113-71,https://www.imdb.com/chart/top/?ref_=nv_mv_250,71. The Dark Knight Rises,,2012,2h 44m,71. The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71,PG
1718339113-72,https://www.imdb.com/chart/top/?ref_=nv_mv_250,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,1964,1h 35m,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72,PG
1718339113-73,https://www.imdb.com/chart/top/?ref_=nv_mv_250,73. Coco,,2017,1h 45m,73. Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_73,R
1718339113-74,https://www.imdb.com/chart/top/?ref_=nv_mv_250,74. Oldboy,,2003,2h,74. Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_74,R
1718339113-75,https://www.imdb.com/chart/top/?ref_=nv_mv_250,75. American Beauty,,1999,2h 2m,75. American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_75,PG
1718339113-76,https://www.imdb.com/chart/top/?ref_=nv_mv_250,76. Amadeus,,1984,2h 40m,76. Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_76,G
1718339113-77,https://www.imdb.com/chart/top/?ref_=nv_mv_250,77. Toy Story,,1995,1h 21m,77. Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77,PG-13
1718339113-78,https://www.imdb.com/chart/top/?ref_=nv_mv_250,78. Avengers: Endgame,,2019,3h 1m,78. Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_78,R
1718339113-79,https://www.imdb.com/chart/top/?ref_=nv_mv_250,79. Das Boot,,1981,2h 29m,79. Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79,R
1718339113-80,https://www.imdb.com/chart/top/?ref_=nv_mv_250,80. Braveheart,,1995,2h 58m,80. Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80,PG-13
1718339113-81,https://www.imdb.com/chart/top/?ref_=nv_mv_250,81. Good Will Hunting,,1997,2h 6m,81. Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_81,R
1718339113-82,https://www.imdb.com/chart/top/?ref_=nv_mv_250,82. Princess Mononoke,,1997,2h 14m,82. Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82,Not Rated
1718339113-83,https://www.imdb.com/chart/top/?ref_=nv_mv_250,83. Joker,,2019,2h 2m,83. Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_83,R
1718339113-84,https://www.imdb.com/chart/top/?ref_=nv_mv_250,84. Your Name.,,2016,1h 46m,84. Your Name.,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84,PG-13
1718339113-85,https://www.imdb.com/chart/top/?ref_=nv_mv_250,85. High and Low,,1963,2h 23m,85. High and Low,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_85,G
1718339113-86,https://www.imdb.com/chart/top/?ref_=nv_mv_250,86. Once Upon a Time in America,,1984,3h 49m,86. Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_86,R
1718339113-87,https://www.imdb.com/chart/top/?ref_=nv_mv_250,87. 3 Idiots,,2009,2h 50m,87. 3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_87,Not Rated
1718339113-88,https://www.imdb.com/chart/top/?ref_=nv_mv_250,88. Singin' in the Rain,,1952,1h 43m,88. Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88,NC-17
1718339113-89,https://www.imdb.com/chart/top/?ref_=nv_mv_250,89. Capernaum,,2018,2h 6m,89. Capernaum,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89,G
1718339113-90,https://www.imdb.com/chart/top/?ref_=nv_mv_250,90. Come and See,,1985,2h 22m,90. Come and See,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90,PG
1718339113-91,https://www.imdb.com/chart/top/?ref_=nv_mv_250,91. Requiem for a Dream,,2000,1h 42m,91. Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91,R
1718339113-92,https://www.imdb.com/chart/top/?ref_=nv_mv_250,92. Toy Story 3,,2010,1h 43m,92. Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92,R
1718339113-93,https://www.imdb.com/chart/top/?ref_=nv_mv_250,93. Star Wars: Episode VI - Return of the Jedi,,1983,2h 11m,93. Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93,G
1718339113-94,https://www.imdb.com/chart/top/?ref_=nv_mv_250,94. Eternal Sunshine of the Spotless Mind,,2004,1h 48m,94. Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_94,R
1718339113-95,https://www.imdb.com/chart/top/?ref_=nv_mv_250,95. The Hunt,,2012,1h 55m,95. The Hunt,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95,Not Rated
1718339113-96,https://www.imdb.com/chart/top/?ref_=nv_mv_250,96. 2001: A Space Odyssey,,1968,2h 29m,96. 2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_96,R
1718339113-97,https://www.imdb.com/chart/top/?ref_=nv_mv_250,97. Reservoir Dogs,,1992,1h 39m,97. Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_97,PG
1718339113-98,https://www.imdb.com/chart/top/?ref_=nv_mv_250,98. Ikiru,,1952,2h 23m,98. Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_98,Approved
1718339113-99,https://www.imdb.com/chart/top/?ref_=nv_mv_250,99. Oppenheimer,,2023,3h,99. Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_99,R
1718339113-100,https://www.imdb.com/chart/top/?ref_=nv_mv_250,100. Lawrence of Arabia,,1962,3h 38m,100. Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100,Approved
1718339113-101,https://www.imdb.com/chart/top/?ref_=nv_mv_250,101. The Apartment,,1960,2h 5m,101. The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101,PG
1718339113-102,https://www.imdb.com/chart/top/?ref_=nv_mv_250,102. Incendies,,2010,2h 11m,102. Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_102,Passed
1718339113-103,https://www.imdb.com/chart/top/?ref_=nv_mv_250,103. North by Northwest,,1959,2h 16m,103. North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_103,R
1718339113-104,https://www.imdb.com/chart/top/?ref_=nv_mv_250,104. Citizen Kane,,1941,1h 59m,104. Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_104,Approved
1718339113-105,https://www.imdb.com/chart/top/?ref_=nv_mv_250,105. M,,1931,1h 39m,105. M,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_105,PG
1718339113-106,https://www.imdb.com/chart/top/?ref_=nv_mv_250,106. Scarface,,1983,2h 50m,106. Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106,R
1718339113-107,https://www.imdb.com/chart/top/?ref_=nv_mv_250,107. Double Indemnity,,1944,1h 47m,107. Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_107,R
1718339113-108,https://www.imdb.com/chart/top/?ref_=nv_mv_250,108. Vertigo,,1958,2h 8m,108. Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108,R
1718339113-109,https://www.imdb.com/chart/top/?ref_=nv_mv_250,109. Full Metal Jacket,,1987,1h 56m,109. Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109,PG
1718339113-110,https://www.imdb.com/chart/top/?ref_=nv_mv_250,110. Amélie,,2001,2h 2m,110. Amélie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_110,R
1718339113-111,https://www.imdb.com/chart/top/?ref_=nv_mv_250,111. Heat,,1995,2h 50m,111. Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_111,Approved
1718339113-112,https://www.imdb.com/chart/top/?ref_=nv_mv_250,112. Up,,2009,1h 36m,112. Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_112,PG-13
1718339113-113,https://www.imdb.com/chart/top/?ref_=nv_mv_250,113. A Clockwork Orange,,1971,2h 16m,113. A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113,PG
1718339113-114,https://www.imdb.com/chart/top/?ref_=nv_mv_250,114. To Kill a Mockingbird,,1962,2h 9m,114. To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114,PG-13
1718339113-115,https://www.imdb.com/chart/top/?ref_=nv_mv_250,115. A Separation,,2011,2h 3m,115. A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115,R
1718339113-116,https://www.imdb.com/chart/top/?ref_=nv_mv_250,116. The Sting,,1973,2h 9m,116. The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_116,PG
1718339113-117,https://www.imdb.com/chart/top/?ref_=nv_mv_250,117. Indiana Jones and the Last Crusade,,1989,2h 7m,117. Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117,Not Rated
1718339113-118,https://www.imdb.com/chart/top/?ref_=nv_mv_250,118. Die Hard,,1988,2h 12m,118. Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118,R
1718339113-119,https://www.imdb.com/chart/top/?ref_=nv_mv_250,119. Like Stars on Earth,,2007,2h 42m,119. Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119,R
1718339113-120,https://www.imdb.com/chart/top/?ref_=nv_mv_250,120. Metropolis,,1927,2h 33m,120. Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120,R
1718339113-121,https://www.imdb.com/chart/top/?ref_=nv_mv_250,121. Snatch,,2000,1h 42m,121. Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121,PG-13
1718339113-122,https://www.imdb.com/chart/top/?ref_=nv_mv_250,122. L.A. Confidential,,1997,2h 18m,122. L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_122,Not Rated
1718339113-123,https://www.imdb.com/chart/top/?ref_=nv_mv_250,123. 1917,,2019,1h 59m,123. 1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123,R
1718339113-124,https://www.imdb.com/chart/top/?ref_=nv_mv_250,124. Hamilton,,2020,2h 40m,124. Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_124,R
1718339113-125,https://www.imdb.com/chart/top/?ref_=nv_mv_250,125. Bicycle Thieves,,1948,1h 29m,125. Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125,Not Rated
1718339113-126,https://www.imdb.com/chart/top/?ref_=nv_mv_250,126. Taxi Driver,,1976,1h 54m,126. Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126,R
1718339113-127,https://www.imdb.com/chart/top/?ref_=nv_mv_250,127. Downfall,,2004,2h 36m,127. Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127,PG-13
